Symbol,Chart Pattern,BullishBearish,Start,End,Industry
ACN,"Triangle, symmetrical",1,12/19/2019,01/30/2020,IT Services
ADS,Broadening top,-1,12/13/2019,01/24/2020,Information Services
AVY,Triple bottom,1,12/03/2019,01/27/2020,Packaging and Container
CMTL,Dead-cat bounce,-1,01/29/2020,01/29/2020,Telecom. Equipment
CSOD,Pipe top,-1,01/13/2020,01/21/2020,E-Commerce
EBAY,Rectangle bottom,-1,10/25/2019,01/28/2020,Internet
WIRE,Pipe top,-1,01/13/2020,01/21/2020,Metals and Mining (Div.)
DHI,"Scallop, ascending",1,12/12/2019,01/28/2020,Homebuilding
KBAL,Pipe top,-1,01/13/2020,01/21/2020,Furn/Home Furnishings
KLAC,Broadening top,-1,12/23/2019,01/30/2020,Semiconductor Cap Equip.
OLN,Pipe top,-1,01/13/2020,01/21/2020,Chemical (Basic)
PKE,"Triangle, descending",-1,09/18/2019,01/30/2020,Chemical (Specialty)
PHM,"Scallop, ascending",1,12/11/2019,01/28/2020,Homebuilding
QCOM,Pipe top,-1,01/13/2020,01/21/2020,Telecom. Equipment
TPX,"Double Bottom, Eve and Adam",1,01/06/2020,01/27/2020,Furn/Home Furnishings
TXT,Broadening bottom,1,12/27/2019,01/29/2020,Diversified Co.
TOL,"Scallop, ascending",1,12/09/2019,01/24/2020,Homebuilding
UPS,"Triangle, descending",-1,10/31/2019,01/24/2020,Air Transport
ATR,"Broadening wedge, ascending",-1,11/22/2019,01/23/2020,Packaging and Container
BSET,"Double Top, Eve and Adam",-1,12/20/2019,01/22/2020,Furn/Home Furnishings
BBW,"Flag, high and tight",1,12/12/2019,01/23/2020,Retail (Special Lines)
CHKP,Broadening bottom,1,12/31/2019,01/17/2020,E-Commerce
CIEN,"Triangle, symmetrical",1,12/13/2019,01/23/2020,Telecom. Equipment
EVH,"Flag, high and tight",1,11/27/2019,01/17/2020,Healthcare Information
FLS,Head-and-shoulders top,-1,01/02/2020,01/17/2020,Machinery
HQY,"Triangle, symmetrical",1,01/02/2020,01/23/2020,Healthcare Information
NSP,"Scallop, ascending",1,12/23/2019,01/17/2020,Human Resources
INTC,"Scallop, ascending",1,01/02/2020,01/23/2020,Semiconductor
KLIC,Rising wedge,-1,11/15/2019,01/22/2020,Semiconductor Cap Equip.
MTSI,"Scallop, ascending",1,12/27/2019,01/23/2020,Semiconductor
